season,jornada,team_name,goalsInFavor,goalsAgainst,result,points
2008-09,14,CA Osasuna,3,3,DRAW,1
2008-09,28,RCD Mallorca,2,0,WIN,3
2008-09,4,RCD La Coruña,0,0,DRAW,1
2008-09,17,Real Racing Santander,1,0,WIN,3
2008-09,31,Sporting Gijón,0,2,LOST,0
2009-10,7,RCD Español,2,1,WIN,3
2009-10,21,UD Almería,3,1,WIN,3
2009-10,35,RCD La Coruña,0,1,LOST,0
2009-10,10,Xerez CD,0,0,DRAW,1
2009-10,24,RCD Mallorca,2,1,WIN,3
2009-10,38,Real Valladolid CF,0,4,LOST,0
2010-11,14,RCD Español,1,0,WIN,3
2010-11,28,RCD Español,2,0,WIN,3
2010-11,4,RCD Español,0,3,LOST,0
2010-11,18,FC Barcelona,4,0,WIN,3
2010-11,31,Villarreal CF,0,5,LOST,0
2011-12,7,Rayo Vallecano,0,1,LOST,0
2011-12,21,Atlético Madrid,0,0,DRAW,1
2011-12,35,Villarreal CF,1,1,DRAW,1
2011-12,11,Sevilla FC,0,0,DRAW,1
2011-12,25,Sporting Gijón,1,3,LOST,0
2011-12,38,Granada CF,0,1,LOST,0
2012-13,14,RCD La Coruña,2,3,LOST,0
2012-13,28,Granada CF,1,1,DRAW,1
2012-13,4,RCD La Coruña,1,1,DRAW,1
2012-13,18,CA Osasuna,0,1,LOST,0
2012-13,32,Real Betis,1,3,LOST,0
2013-14,8,FC Barcelona,4,1,WIN,3
2013-14,8,Elche CF,2,1,WIN,3
2013-14,8,Levante UD,2,3,LOST,0
2013-14,8,Rayo Vallecano,1,0,WIN,3
2013-14,8,Athletic Club Bilbao,1,1,DRAW,1
2013-14,8,Atlético Madrid,2,1,WIN,3
2013-14,8,Getafe CF,3,1,WIN,3
2013-14,8,Sevilla FC,2,1,WIN,3
2013-14,9,RCD Español,1,0,WIN,3
2013-14,9,CA Osasuna,0,0,DRAW,1
2013-14,9,Real Madrid CF,2,0,WIN,3
2013-14,9,Valencia CF,1,2,LOST,0
2013-14,9,UD Almería,0,1,LOST,0
2013-14,9,Real Betis,1,2,LOST,0
2013-14,9,Granada CF,0,2,LOST,0
2013-14,9,Real Valladolid CF,2,2,DRAW,1
2013-14,9,Athletic Club Bilbao,2,0,WIN,3
2013-14,9,RC Celta Vigo,0,1,LOST,0
2013-14,10,Rayo Vallecano,0,3,LOST,0
2013-14,10,FC Barcelona,2,1,WIN,3
2013-14,10,Elche CF,0,1,LOST,0
2013-14,10,Levante UD,3,0,WIN,3
2013-14,10,Málaga CF,0,5,LOST,0
2013-14,10,Atlético Madrid,5,0,WIN,3
2013-14,10,Sevilla FC,2,1,WIN,3
2013-14,10,Real Sociedad,3,0,WIN,3
2013-14,10,Villarreal CF,4,1,WIN,3
2013-14,10,Getafe CF,0,1,LOST,0
2013-14,11,RC Celta Vigo,0,3,LOST,0
2013-14,11,RCD Español,0,0,DRAW,1
2013-14,11,CA Osasuna,3,1,WIN,3
2013-14,11,Real Madrid CF,7,3,WIN,3
2013-14,11,Valencia CF,1,2,LOST,0
2013-14,11,Real Valladolid CF,2,2,DRAW,1
2013-14,11,Athletic Club Bilbao,2,2,DRAW,1
2013-14,11,Real Betis,0,0,DRAW,1
2013-14,11,Granada CF,1,2,LOST,0
2013-14,11,Villarreal CF,0,2,LOST,0
2013-14,12,FC Barcelona,1,0,WIN,3
2013-14,12,UD Almería,1,0,WIN,3
2013-14,12,Sevilla FC,0,1,LOST,0
2013-14,12,Real Sociedad,5,0,WIN,3
2013-14,12,Rayo Vallecano,2,3,LOST,0
2013-14,12,Atlético Madrid,2,0,WIN,3
2013-14,12,Getafe CF,0,1,LOST,0
2013-14,12,Levante UD,0,1,LOST,0
2013-14,12,Málaga CF,3,2,WIN,3
2013-14,12,Elche CF,0,1,LOST,0
2013-14,13,Granada CF,3,1,WIN,3
2013-14,13,CA Osasuna,0,1,LOST,0
2013-14,13,Athletic Club Bilbao,2,1,WIN,3
2013-14,13,RC Celta Vigo,0,2,LOST,0
2013-14,13,Getafe CF,1,1,DRAW,1
2013-14,13,Real Madrid CF,5,1,WIN,3
2013-14,13,Real Betis,1,4,LOST,0
